ID,Ten_Mon,Calories,Protein,Carb,Fat,Fiber,Time_Chay_Bo,Cong_Thuc
suonxaochuangot,Sườn xào chua ngọt,350,20,15,22,1.0,35 phút,"Chặt sườn miếng vừa ăn, luộc sơ rồi chiên vàng. Pha hỗn hợp sốt: giấm, đường, mắm, tương cà. Phi thơm tỏi, cho sườn và nước sốt vào đảo đều. Đun lửa nhỏ đến khi nước sốt sệt lại bao quanh miếng sườn."
canhkhoquanhoithit,Canh khổ qua nhồi thịt,180,15,8,10,4.5,18 phút,"Trộn thịt băm với nấm mèo, hành tím và gia vị. Khổ qua bỏ ruột, nhồi thịt vào bên trong. Đun sôi nước dùng, cho khổ qua vào hầm. Nấu đến khi khổ qua mềm, nêm gia vị và hành ngò."
bunrieucua,Bún riêu cua,420,16,55,14,3.5,42 phút,"Hòa cua đồng xay với nước, lọc lấy nước cốt rồi đun sôi cho gạch nổi lên. Xào cà chua với màu điều, đổ vào nồi nước dùng. Cho đậu hũ chiên và huyết vào đun sôi lại. Chan nước riêu vào tô bún, ăn kèm mắm tôm."
banhkhot,Bánh khọt (6 cái),380,10,48,16,2.5,38 phút,"Pha bột bánh khọt với nước cốt dừa và hành lá. Làm nóng khuôn, tráng dầu và đổ bột vào từng ô. Cho tôm tươi lên trên, đậy nắp đến khi bánh chín giòn. Cuốn bánh với xà lách và chấm nước mắm chua ngọt."
cathusotcachua,Cá thu sốt cà chua,320,24,6,18,1.5,32 phút,"Chiên sơ hai mặt cá thu cho săn lại. Xào cà chua băm nhỏ cho nhừ, thêm chút nước và gia vị. Cho cá vào rim cùng nước sốt cà chua khoảng 10 phút. Thêm hành lá và tiêu trước khi tắt bếp."
bokho,Bò kho,500,28,45,22,2.0,50 phút,"Ướp thịt bò với gói gia vị bò kho, hành, tỏi, sả 30 phút. Xào săn thịt bò, thêm nước dừa và đun sôi. Cho cà rốt vào hầm cùng đến khi thịt và cà rốt mềm. Hòa chút bột năng vào để nước dùng có độ sệt, ăn kèm bánh mì."
chagio,Chả giò (3 chiếc),300,12,25,16,2.0,30 phút,"Trộn thịt băm, tôm, miến, nấm mèo, trứng và gia vị. Trải bánh tráng, cho nhân vào và cuộn tròn lại. Đun nóng dầu, cho chả giò vào chiên ngập dầu. Chiên đến khi vàng giòn, vớt ra thấm dầu và ăn cùng nước mắm."
bundaumamtom,Bún đậu mắm tôm,550,22,60,25,3.5,55 phút,"Chiên vàng đậu hũ thái miếng. Luộc thịt chân giò, thái mỏng. Pha mắm tôm với đường, chanh, ớt và đánh sủi bọt. Xếp bún lá, đậu, thịt ra mẹt và thưởng thức cùng rau thơm."
comtambicha,Cơm tấm bì chả,580,24,72,20,2.0,58 phút,"Nấu cơm từ gạo tấm. Trộn bì heo luộc thái sợi với thính gạo và gia vị. Hấp chả trứng (trứng, thịt băm, mộc nhĩ). Trình bày cơm ra đĩa kèm bì, chả, đồ chua và nước mắm ngọt."
phocuon,Phở cuốn (5 cái),350,15,40,12,3.0,35 phút,"Xào săn thịt bò với tỏi và gia vị. Trải bánh phở miếng lên đĩa phẳng. Xếp rau xà lách, rau thơm và thịt bò lên bánh phở. Cuộn tròn lại và chấm cùng nước mắm chua ngọt."
banhcuonnong,Bánh cuốn nóng,320,10,45,10,1.5,32 phút,"Pha bột gạo với nước theo tỉ lệ. Tráng mỏng bột lên nồi hơi hoặc chảo chống dính. Cho nhân thịt băm mộc nhĩ vào giữa rồi cuộn lại. Ăn kèm chả lụa, hành phi và nước mắm."
canhchuatom,Canh chua tôm,130,12,12,3,4.0,13 phút,"Đun sôi nước me, cho tôm vào nấu chín. Cho cà chua, thơm, giá đậu xanh và đậu bắp vào đun sôi lại. Nêm gia vị và thêm rau thơm (ngổ, ngò gai). Tắt bếp và dùng nóng."
thitboxaothienly,Thịt bò xào thiên lý,250,18,8,16,3.0,25 phút,"Ướp thịt bò thái mỏng với tỏi, dầu hào và tiêu. Phi thơm tỏi, xào thịt bò vừa chín tới thì trút ra đĩa. Cho hoa thiên lý vào xào nhanh tay trên lửa lớn. Đổ thịt bò vào đảo lại cùng hoa thiên lý rồi tắt bếp."
cacomkhotieu,Cá cơm kho tiêu,210,16,4,14,0,21 phút,"Rửa sạch cá cơm, để ráo và ướp với mắm, đường, nước màu. Cho cá vào nồi kho với ít nước. Đun lửa nhỏ đến khi nước cạn và cá săn lại. Rắc nhiều tiêu xay và hành lá lên trên."
supcua,Súp cua,180,10,20,6,1.0,18 phút,"Đun sôi nước dùng từ xương gà, cho thịt cua và trứng cút vào. Thêm bắp hạt và nấm tuyết. Hòa bột năng với nước rồi từ từ đổ vào nồi khuấy đều để tạo độ sệt. Đánh tan trứng gà đổ vào tạo vân, thêm hành ngò và tiêu."
banhmichao,Bánh mì chảo,520,22,55,24,1.5,52 phút,"Chiên vàng trứng ốp la, xúc xích và pate trên chảo nhỏ. Thêm nước sốt cà chua đậm đà vào chảo đun sôi. Thêm vài lát thịt nguội hoặc bò né tùy thích. Ăn trực tiếp trên chảo kèm bánh mì giòn."
gakhogung,Gà kho gừng,320,24,5,22,0.5,32 phút,"Chặt gà miếng vừa ăn, ướp với gừng sợi, mắm, đường và nước màu. Phi thơm hành tỏi và gừng, cho gà vào xào săn. Thêm ít nước, đậy nắp kho lửa nhỏ đến khi gà chín mềm. Kho đến khi nước sệt lại, tỏa mùi thơm đặc trưng của gừng."
